"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_type_error","tests","2026-07-22","passed","2026-07-22","","test_pytest_raises","",""
"","0","test_message","tests","2026-07-22","failed","2026-07-22","TestAssertion","test_assertions","",""
"","0","test_login","tests","2026-07-22","passed","2026-07-22","","test_fixtures","",""
"","2001","test_two","tests","2026-07-22","passed","2026-07-22","","test_parallel","",""
"","0","test_linux_feature","tests","2026-07-22","skipped","2026-07-22","","test_skip","",""
"","0","test_valid_login","tests","2026-07-22","skipped","2026-07-22","","test_skip","",""
"","0","test_age","tests","2026-07-22","failed","2026-07-22","TestAssertion","test_assertions","",""
"","0","test_name","tests","2026-07-22","passed","2026-07-22","TestAssertion","test_assertions","",""
"","0","test_valid_login","tests","2026-07-22","passed","2026-07-22","TestLogin","test_markers","",""
"Verify valid HTTP success status codes.","0","test_success_status[205]","tests","2026-07-22","passed","2026-07-22","","test_parametrize","",""
"","0","test_invalid_age","tests","2026-07-22","passed","2026-07-22","","test_pytest_raises","",""
"Verify login functionality.","0","test_login","tests","2026-07-22","passed","2026-07-22","","test_markers","",""
"Verify square calculation.","0","test_square[4-16]","tests","2026-07-22","passed","2026-07-22","","test_parametrize","",""
"Verify profile page functionality.","0","test_profile","tests","2026-07-22","passed","2026-07-22","","test_markers","",""
"Verify payment functionality.","0","test_payment","tests","2026-07-22","passed","2026-07-22","","test_markers","",""
"","0","test_salary","tests","2026-07-22","passed","2026-07-22","TestAssertion","test_assertions","",""
"","0","test_subtraction","tests","2026-07-22","passed","2026-07-22","TestCalculator","test_classes","",""
"","1","test_get_users","tests","2026-07-22","passed","2026-07-22","","test_fixtures","",""
"","0","test_addition","tests","2026-07-22","passed","2026-07-22","","test_xfail","",""
"","0","test_login","tests","2026-07-22","skipped","2026-07-22","","test_xfail","",""
"","0","test_card_payment","tests","2026-07-22","passed","2026-07-22","TestPayment","test_markers","",""
"","0","test_even_number","tests","2026-07-22","passed","2026-07-22","TestAssertionAssignment","test_assertions","",""
"","0","test_exception_message","tests","2026-07-22","passed","2026-07-22","","test_pytest_raises","",""
"","2002","test_four","tests","2026-07-22","passed","2026-07-22","","test_parallel","",""
"","2001","test_three","tests","2026-07-22","passed","2026-07-22","","test_parallel","",""
"","0","test_upi_payment","tests","2026-07-22","skipped","2026-07-22","TestPayment","test_skip","",""
"","1","test_invalid_login","tests","2026-07-22","passed","2026-07-22","TestLogin","test_classes","",""
"","0","test_string","tests","2026-07-22","passed","2026-07-22","TestAssertion","test_assertions","",""
"","0","test_upi_payment","tests","2026-07-22","passed","2026-07-22","TestPayment","test_markers","",""
"","1","test_addition","tests","2026-07-22","passed","2026-07-22","TestAssertion","test_assertions","",""
"Verify that the homepage loads successfully.","0","test_homepage","tests","2026-07-22","passed","2026-07-22","","test_markers","",""
"Verify square calculation.","0","test_square[5-25]","tests","2026-07-22","passed","2026-07-22","","test_parametrize","",""
"","0","test_logout","tests","2026-07-22","passed","2026-07-22","","test_fixtures","",""
"","0","test_not_equal","tests","2026-07-22","passed","2026-07-22","TestAssertion","test_assertions","",""
"","0","test_make_payment","tests","2026-07-22","skipped","2026-07-22","","test_skip","",""
"","0","test_subtraction","tests","2026-07-22","passed","2026-07-22","","test_allure_demo","",""
"","0","test_dashboard_loaded","tests","2026-07-22","passed","2026-07-22","TestDashboard","test_classes","",""
"Verify login with multiple credentials.","0","test_login[guest-guest123-True]","tests","2026-07-22","passed","2026-07-22","","test_parametrize","",""
"Verify square calculation.","1","test_square[3-9]","tests","2026-07-22","passed","2026-07-22","","test_parametrize","",""
"","0","test_addition","tests","2026-07-22","passed","2026-07-22","TestCalculator","test_classes","",""
"","0","test_divide_by_zero","tests","2026-07-22","passed","2026-07-22","","test_pytest_raises","",""
"","0","test_contains_word","tests","2026-07-22","passed","2026-07-22","TestAssertionAssignment","test_assertions","",""
"","0","test_database_connection","tests","2026-07-22","passed","2026-07-22","","test_fixtures","",""
"","0","test_valid_login","tests","2026-07-22","passed","2026-07-22","TestLogin","test_classes","",""
"Verify valid HTTP success status codes.","0","test_success_status[201]","tests","2026-07-22","passed","2026-07-22","","test_parametrize","",""
"","0","test_addition","tests","2026-07-22","passed","2026-07-22","","test_allure_demo","",""
"","1","test_platform_feature","tests","2026-07-22","passed","2026-07-22","","test_xfail","",""
"","0","test_boolean","tests","2026-07-22","passed","2026-07-22","TestAssertion","test_assertions","",""
"","0","test_expected_failure","tests","2026-07-22","skipped","2026-07-22","","test_xfail","",""
"","0","test_linux","tests","2026-07-22","skipped","2026-07-22","","test_skip","",""
"","0","test_api_response","tests","2026-07-22","passed","2026-07-22","TestAssertion","test_assertions","",""
"","0","test_user_login","tests","2026-07-22","passed","2026-07-22","","test_fixtures","",""
"Verify login with multiple credentials.","1","test_login[admin-admin123-True]","tests","2026-07-22","passed","2026-07-22","","test_parametrize","",""
"","0","test_string_starts_with","tests","2026-07-22","passed","2026-07-22","TestAssertionAssignment","test_assertions","",""
"","0","test_identity","tests","2026-07-22","passed","2026-07-22","TestAssertion","test_assertions","",""
"","0","test_index_error","tests","2026-07-22","passed","2026-07-22","","test_pytest_raises","",""
"","0","test_marks","tests","2026-07-22","passed","2026-07-22","TestAssertion","test_assertions","",""
"","0","test_login","tests","2026-07-22","passed","2026-07-22","","test_login","",""
"","0","test_logout","tests","2026-07-22","passed","2026-07-22","TestDashboard","test_classes","",""
"Verify square calculation.","0","test_square[2-4]","tests","2026-07-22","passed","2026-07-22","","test_parametrize","",""
"Verify valid HTTP success status codes.","0","test_success_status[200]","tests","2026-07-22","passed","2026-07-22","","test_parametrize","",""
"","0","test_strict_mode","tests","2026-07-22","failed","2026-07-22","","test_xfail","",""
"Verify login with multiple credentials.","0","test_login[admin-wrongpass-False]","tests","2026-07-22","passed","2026-07-22","","test_parametrize","",""
"","0","test_invalid_integer","tests","2026-07-22","passed","2026-07-22","","test_pytest_raises","",""
"","0","test_logout","tests","2026-07-22","passed","2026-07-22","","test_fixture_scope","",""
"","0","test_not_in","tests","2026-07-22","passed","2026-07-22","TestAssertion","test_assertions","",""
"","0","test_login","tests","2026-07-22","passed","2026-07-22","","test_fixture_scope","",""
"","0","test_invalid_login","tests","2026-07-22","passed","2026-07-22","TestLogin","test_markers","",""
"","0","test_database_query","tests","2026-07-22","passed","2026-07-22","","test_fixtures","",""
"","0","test_list_contains_value","tests","2026-07-22","passed","2026-07-22","TestAssertionAssignment","test_assertions","",""
"","0","test_registration","tests","2026-07-22","skipped","2026-07-22","","test_skip","",""
"
Skip the test if the database is unavailable.
","0","test_database_connection","tests","2026-07-22","skipped","2026-07-22","","test_skip","",""
"","0","test_failure","tests","2026-07-22","failed","2026-07-22","","test_allure_demo","",""
"","2001","test_one","tests","2026-07-22","passed","2026-07-22","","test_parallel","",""
"","0","test_dictionary_key","tests","2026-07-22","passed","2026-07-22","TestAssertionAssignment","test_assertions","",""
"","0","test_none","tests","2026-07-22","passed","2026-07-22","TestAssertion","test_assertions","",""
"","1","test_cart","tests","2026-07-22","passed","2026-07-22","","test_cart","",""
"","0","test_key_error","tests","2026-07-22","passed","2026-07-22","","test_pytest_raises","",""
"","0","test_list","tests","2026-07-22","passed","2026-07-22","TestAssertion","test_assertions","",""
"","0","test_card_payment","tests","2026-07-22","skipped","2026-07-22","TestPayment","test_skip","",""
